# Projections along x-axis (horizontal projections) 
# x          y=0.4184           
-1.83327851142 4.281801e-03        
-1.83022019632 4.770571e-03        
-1.82716188122 5.278305e-03        
-1.82410356612 5.803362e-03        
-1.82104525102 6.344028e-03        
-1.81798693592 6.898515e-03        
-1.81492862083 7.464971e-03        
-1.81187030573 8.041489e-03        
-1.80881199063 8.626107e-03        
-1.80575367553 9.21682e-03         
-1.80269536043 9.811586e-03        
-1.79963704533 1.040833e-02        
-1.79657873023 1.100497e-02        
-1.79352041513 1.159938e-02        
-1.79046210003 1.218945e-02        
-1.78740378493 1.277308e-02        
-1.78434546984 1.334814e-02        
-1.78128715474 1.391255e-02        
-1.77822883964 1.446425e-02        
-1.77517052454 1.50012e-02         
-1.77211220944 1.552141e-02        
-1.76905389434 1.602295e-02        
-1.76599557924 1.650391e-02        
-1.76293726414 1.696248e-02        
-1.75987894904 1.73969e-02         
-1.75682063395 1.78055e-02         
-1.75376231885 1.818668e-02        
-1.75070400375 1.853895e-02        
-1.74764568865 1.88609e-02         
-1.74458737355 1.915123e-02        
-1.74152905845 1.940874e-02        
-1.73847074335 1.963238e-02        
-1.73541242825 1.982116e-02        
-1.73235411315 1.997427e-02        
-1.72929579805 2.0091e-02          
-1.72623748296 2.017077e-02        
-1.72317916786 2.021314e-02        
-1.72012085276 2.021782e-02        
-1.71706253766 2.018463e-02        
-1.71400422256 2.011355e-02        
-1.71094590746 2.000471e-02        
-1.70788759236 1.985837e-02        
-1.70482927726 1.967493e-02        
-1.70177096216 1.945495e-02        
-1.69871264707 1.919911e-02        
-1.69565433197 1.890825e-02        
-1.69259601687 1.858334e-02        
-1.68953770177 1.822547e-02        
-1.68647938667 1.783589e-02        
-1.68342107157 1.741597e-02        
-1.68036275647 1.696719e-02        
-1.67730444137 1.649117e-02        
-1.67424612627 1.598964e-02        
-1.67118781118 1.546444e-02        
-1.66812949608 1.49175e-02         
-1.66507118098 1.435087e-02        
-1.66201286588 1.376667e-02        
-1.65895455078 1.316712e-02        
-1.65589623568 1.25545e-02         
-1.65283792058 1.193118e-02        
-1.64977960548 1.129958e-02        
-1.64672129038 1.066215e-02        
-1.64366297528 1.00214e-02         
-1.64060466019 9.379893e-03        
-1.63754634509 8.740181e-03        
-1.63448802999 8.10485e-03         
-1.63142971489 7.476488e-03        
-1.62837139979 6.857677e-03        
-1.62531308469 6.250987e-03        
-1.62225476959 5.658962e-03        
-1.61919645449 5.084116e-03        
-1.61613813939 4.528917e-03        
-1.6130798243 3.995782e-03        
-1.6100215092 3.487065e-03        
-1.6069631941 3.005049e-03        
-1.603904879 2.551938e-03        
-1.6008465639 2.129846e-03        
-1.5977882488 1.740788e-03        
-1.5947299337 1.386675e-03        
-1.5916716186 1.069303e-03        
-1.5886133035 7.903462e-04        
-1.5855549884 5.513504e-04        
-1.58249667331 3.537257e-04        
-1.57943835821 1.987398e-04        
-1.57638004311 8.751281e-05        
-1.57332172801 2.101153e-05        
-1.57026341291 4.45829e-08         
-1.56720509781 2.525814e-05        
-1.56414678271 9.713224e-05        
-1.56108846761 2.159775e-04        
-1.55803015251 3.819329e-04        
-1.55497183742 5.949632e-04        
-1.55191352232 8.548584e-04        
-1.54885520722 1.161233e-03        
