# BornAgain Intensity Data
# Simple array suitable for numpy, matlab etc.
# coordinates         intensities
1.176465686340e+00    1.724780655687e+02
1.180124641359e+00    2.210120614704e+02
1.183783593144e+00    2.769098085206e+02
1.187442541683e+00    3.395224452877e+02
1.191101486966e+00    4.081205063340e+02
1.194760428984e+00    4.819034841400e+02
1.198419367727e+00    5.600102139590e+02
1.202078303184e+00    6.415299377142e+02
1.205737235345e+00    7.255138960892e+02
1.209396164201e+00    8.109872933553e+02
1.213055089741e+00    8.969614767248e+02
1.216714011955e+00    9.824461715849e+02
1.220372930834e+00    1.066461615442e+03
1.224031846367e+00    1.148050437013e+03
1.227690758545e+00    1.226289132365e+03
1.231349667356e+00    1.300298997327e+03
1.235008572792e+00    1.369256384479e+03
1.238667474842e+00    1.432402163501e+03
1.242326373496e+00    1.489050275743e+03
1.245985268744e+00    1.538595286970e+03
1.249644160576e+00    1.580518856497e+03
1.253303048983e+00    1.614395055912e+03
1.256961933953e+00    1.639894486223e+03
1.260620815477e+00    1.656787158270e+03
1.264279693545e+00    1.664944117500e+03
1.267938568147e+00    1.664337810321e+03
1.271597439273e+00    1.655041205253e+03
1.275256306913e+00    1.637225697582e+03
1.278915171056e+00    1.611157841110e+03
1.282574031694e+00    1.577194964709e+03
1.286232888815e+00    1.535779744471e+03
1.289891742410e+00    1.487433814261e+03
1.293550592468e+00    1.432750508229e+03
1.297209438980e+00    1.372386838199e+03
1.300868281936e+00    1.307054816797e+03
1.304527121325e+00    1.237512243514e+03
1.308185957138e+00    1.164553075746e+03
1.311844789365e+00    1.088997509989e+03
1.315503617995e+00    1.011681899877e+03
1.319162443018e+00    9.334486377246e+02
1.322821264425e+00    8.551361244918e+02
1.326480082205e+00    7.775689498957e+02
1.330138896349e+00    7.015483996737e+02
1.333797706846e+00    6.278434009348e+02
1.337456513686e+00    5.571820091427e+02
1.341115316860e+00    4.902435317324e+02
1.344774116357e+00    4.276513737881e+02
1.348432912167e+00    3.699666807119e+02
1.352091704280e+00    3.176828416086e+02
1.355750492687e+00    2.712209052424e+02
1.359409277376e+00    2.309259482080e+02
1.363068058339e+00    1.970644223877e+02
1.366726835565e+00    1.698224961531e+02
1.370385609044e+00    1.493053911909e+02
1.374044378766e+00    1.355377044355e+02
1.377703144720e+00    1.284646926238e+02
1.381361906898e+00    1.279544854618e+02
1.385020665289e+00    1.338011825646e+02
1.388679419882e+00    1.457287792487e+02
1.392338170669e+00    1.633958570540e+02
1.395996917638e+00    1.864009666721e+02
1.399655660780e+00    2.142886237955e+02
1.403314400085e+00    2.465558324059e+02
1.406973135542e+00    2.826590451933e+02
1.410631867143e+00    3.220214672005e+02
1.414290594876e+00    3.640406064404e+02
1.417949318731e+00    4.080959741515e+02
1.421608038699e+00    4.535568374871e+02
1.425266754770e+00    4.997899288062e+02
1.428925466933e+00    5.461670182686e+02
1.432584175179e+00    5.920722600719e+02
1.436242879497e+00    6.369092273923e+02
1.439901579878e+00    6.801075567265e+02
1.443560276311e+00    7.211291288860e+02
1.447218968787e+00    7.594737212108e+02
1.450877657295e+00    7.946840735339e+02
1.454536341825e+00    8.263503189673e+02
1.458195022368e+00    8.541137395316e+02
1.461853698913e+00    8.776698159335e+02
1.465512371450e+00    8.967705502247e+02
1.469171039969e+00    9.112260496135e+02
1.472829704461e+00    9.209053691373e+02
1.476488364914e+00    9.257366201831e+02
1.480147021320e+00    9.257063608316e+02
1.483805673668e+00    9.208582925686e+02
1.487464321948e+00    9.112912960008e+02
1.491122966150e+00    8.971568456924e+02
1.494781606264e+00    8.786558510653e+02
1.498440242280e+00    8.560349763580e+02
1.502098874188e+00    8.295824979240e+02
1.505757501978e+00    7.996237615339e+02
1.509416125639e+00    7.665163058739e+02
1.513074745163e+00    7.306447210322e+02
1.516733360538e+00    6.924153124083e+02
1.520391971755e+00    6.522506412513e+02
1.524050578804e+00    6.105840128104e+02
1.527709181675e+00    5.678539820276e+02
1.531367780357e+00    5.244989447372e+02
1.535026374841e+00    4.809518795934e+02
1.538684965117e+00    4.376353024062e+02
1.542343551174e+00    3.949564903358e+02
1.546002133003e+00    3.533030285496e+02
1.549660710593e+00    3.130387265068e+02
1.553319283935e+00    2.744999451654e+02
1.556977853019e+00    2.379923701281e+02
1.560636417834e+00    2.037882591581e+02
1.564294978370e+00    1.721241857360e+02
1.567953534617e+00    1.431992934317e+02
1.571612086566e+00    1.171740689482e+02
1.575270634207e+00    9.416963487090e+01
1.578929177529e+00    7.426755644902e+01
1.582587716521e+00    5.751015029641e+01
1.586246251176e+00    4.390127677684e+01
1.589904781481e+00    3.340759208291e+01
1.593563307428e+00    2.596023073938e+01
1.597221829005e+00    2.145688449068e+01
1.600880346204e+00    1.976423931024e+01
1.604538859014e+00    2.072072867720e+01
1.608197367425e+00    2.413955828449e+01
1.611855871427e+00    2.981195504470e+01
1.615514371010e+00    3.751059162259e+01
1.619172866164e+00    4.699313677298e+01
1.622831356879e+00    5.800588149303e+01
1.626489843145e+00    7.028739138047e+01
1.630148324952e+00    8.357213663642e+01
1.633806802290e+00    9.759405278420e+01
1.637465275148e+00    1.120899874159e+02
1.641123743518e+00    1.268029910328e+02
1.644782207388e+00    1.414854132866e+02
1.648440666748e+00    1.559017696201e+02
1.652099121590e+00    1.698313473290e+02
1.655757571902e+00    1.830705244438e+02
1.659416017675e+00    1.954347794138e+02
1.663074458898e+00    2.067603743497e+02
1.666732895562e+00    2.169056994676e+02
1.670391327657e+00    2.257522712859e+02
1.674049755172e+00    2.332053820253e+02
1.677708178098e+00    2.391944024581e+02
1.681366596424e+00    2.436727450951e+02
1.685025010140e+00    2.466174990293e+02
1.688683419237e+00    2.480287519167e+02
1.692341823704e+00    2.479286184151e+02
1.696000223532e+00    2.463599978842e+02
1.699658618710e+00    2.433850872264e+02
1.703317009228e+00    2.390836773932e+02
1.706975395077e+00    2.335512642673e+02
1.710633776245e+00    2.268970063382e+02
1.714292152724e+00    2.192415628055e+02
1.717950524503e+00    2.107148464639e+02
1.721608891573e+00    2.014537259558e+02
1.725267253922e+00    1.915997117145e+02
1.728925611541e+00    1.812966591977e+02
1.732583964421e+00    1.706885218308e+02
1.736242312550e+00    1.599171844784e+02
1.739900655920e+00    1.491204062742e+02
1.743558994519e+00    1.384298992881e+02
1.747217328339e+00    1.279695668527e+02
1.750875657368e+00    1.178539224396e+02
1.754533981597e+00    1.081867068191e+02
1.758192301016e+00    9.905971791316e+01
1.761850615615e+00    9.055186429427e+01
1.765508925384e+00    8.272844975893e+01
1.769167230312e+00    7.564069285562e+01
1.772825530390e+00    6.932548172608e+01
1.776483825608e+00    6.380536117462e+01
1.780142115956e+00    5.908874555976e+01
1.783800401423e+00    5.517034794782e+01
1.787458682000e+00    5.203181302448e+01
1.791116957676e+00    4.964253855837e+01
1.794775228442e+00    4.796066779087e+01
1.798433494287e+00    4.693423301078e+01
1.802091755202e+00    4.650242878891e+01
1.805750011176e+00    4.659699191294e+01
1.809408262200e+00    4.714366399080e+01
1.813066508263e+00    4.806371198931e+01
1.816724749356e+00    4.927548164726e+01
1.820382985468e+00    5.069595874501e+01
1.824041216589e+00    5.224231361908e+01
1.827699442709e+00    5.383340506710e+01
1.831357663819e+00    5.539122087920e+01
1.835015879908e+00    5.684223363358e+01
1.838674090966e+00    5.811865208200e+01
1.842332296984e+00    5.915955039668e+01
1.845990497950e+00    5.991185971838e+01
1.849648693856e+00    6.033120880489e+01
1.853306884691e+00    6.038260309145e+01
1.856965070444e+00    6.004093409868e+01
1.860623251107e+00    5.929131382577e+01
1.864281426669e+00    5.812923150012e+01
1.867939597120e+00    5.656053278585e+01
1.871597762449e+00    5.460122423896e+01
1.875255922648e+00    5.227710840144e+01
1.878914077705e+00    4.962325741350e+01
1.882572227612e+00    4.668333535692e+01
1.886230372357e+00    4.350878169641e+01
1.889888511931e+00    4.015787012450e+01
1.893546646323e+00    3.669465882347e+01
1.897204775525e+00    3.318784960460e+01
1.900862899525e+00    2.970957456012e+01
1.904521018314e+00    2.633412975221e+01
1.908179131881e+00    2.313667605239e+01
1.911837240217e+00    2.019192753942e+01
1.915495343312e+00    1.757284785130e+01
1.919153441155e+00    1.534937458269e+01
1.922811533737e+00    1.358719122375e+01
1.926469621047e+00    1.234656526348e+01
1.930127703076e+00    1.168126994964e+01
1.933785779813e+00    1.163760582115e+01
1.937443851249e+00    1.225353653523e+01
1.941101917373e+00    1.355795172315e+01
1.944759978175e+00    1.557006765176e+01
1.948418033646e+00    1.829897437637e+01
1.952076083775e+00    2.174333587057e+01
1.955734128552e+00    2.589124734444e+01
1.959392167967e+00    3.072025165050e+01
1.963050202011e+00    3.619751435074e+01
1.966708230673e+00    4.228015472385e+01
1.970366253943e+00    4.891572774724e+01
1.974024271811e+00    5.604284993704e+01
1.977682284268e+00    6.359195989342e+01
1.981340291302e+00    7.148620250448e+01
1.984998292904e+00    7.964242404329e+01
1.988656289065e+00    8.797226385958e+01
1.992314279773e+00    9.638332705290e+01
1.995972265020e+00    1.047804214234e+02
1.999630244794e+00    1.130668411476e+02
2.003288219086e+00    1.211456790326e+02
2.006946187886e+00    1.289211488598e+02
2.010604151184e+00    1.362998992536e+02
2.014262108970e+00    1.431923006885e+02
2.017920061233e+00    1.495136876814e+02
2.021578007964e+00    1.551855388983e+02
2.025235949153e+00    1.601365788186e+02
2.028893884790e+00    1.643037857355e+02
2.032551814864e+00    1.676332922112e+02
2.036209739366e+00    1.700811656263e+02
2.039867658286e+00    1.716140581450e+02
2.043525571613e+00    1.722097172403e+02
2.047183479338e+00    1.718573498479e+02
2.050841381450e+00    1.705578352374e+02
2.054499277940e+00    1.683237837541e+02
2.058157168797e+00    1.651794406832e+02
2.061815054012e+00    1.611604365822e+02
2.065472933574e+00    1.563133874921e+02
2.069130807474e+00    1.506953504451e+02
2.072788675701e+00    1.443731416087e+02
2.076446538245e+00    1.374225262200e+02
2.080104395096e+00    1.299272911424e+02
2.083762246245e+00    1.219782124040e+02
2.087420091681e+00    1.136719314243e+02
2.091077931394e+00    1.051097548000e+02
2.094735765375e+00    9.639639347091e+01
2.098393593612e+00    8.763865782919e+01
2.102051416097e+00    7.894412584749e+01
2.105709232819e+00    7.041980158359e+01
2.109367043768e+00    6.217078147745e+01
2.113024848934e+00    5.429894567095e+01
2.116682648307e+00    4.690169118266e+01
2.120340441877e+00    4.007072314168e+01
2.123998229634e+00    3.389091945180e+01
2.127656011568e+00    2.843928322903e+01
2.131313787669e+00    2.378399613930e+01
2.134971557926e+00    1.998358439223e+01
2.138629322331e+00    1.708620762055e+01
2.142287080872e+00    1.512907923474e+01
2.145944833540e+00    1.413802509401e+01
2.149602580325e+00    1.412718551336e+01
2.153260321217e+00    1.509886375189e+01
2.156918056205e+00    1.704352222308e+01
2.160575785281e+00    1.993992576507e+01
2.164233508432e+00    2.375542942407e+01
2.167891225651e+00    2.844640637064e+01
2.171548936926e+00    3.395880980285e+01
2.175206642247e+00    4.022886101791e+01
2.178864341605e+00    4.718385427889e+01
2.182522034990e+00    5.474306767402e+01
2.186179722391e+00    6.281876789862e+01
2.189837403799e+00    7.131729577631e+01
2.193495079203e+00    8.014021841123e+01
2.197152748593e+00    8.918553312212e+01
2.200810411960e+00    9.834890776563e+01
2.204468069293e+00    1.075249417189e+02
2.208125720583e+00    1.166084316538e+02
2.211783365818e+00    1.254956263048e+02
2.215441004990e+00    1.340854547062e+02
2.219098638089e+00    1.422807128381e+02
2.222756265103e+00    1.499891942785e+02
2.226413886024e+00    1.571247512936e+02
2.230071500841e+00    1.636082737950e+02
2.233729109544e+00    1.693685747442e+02
2.237386712123e+00    1.743431718691e+02
2.241044308568e+00    1.784789569581e+02
2.244701898869e+00    1.817327454961e+02
2.248359483016e+00    1.840717009814e+02
2.252017061000e+00    1.854736298941e+02
2.255674632809e+00    1.859271449516e+02
2.259332198434e+00    1.854316959655e+02
2.262989757865e+00    1.839974692815e+02
2.266647311092e+00    1.816451584236e+02
2.270304858105e+00    1.784056101485e+02
2.273962398894e+00    1.743193516337e+02
2.277619933448e+00    1.694360059481e+02
2.281277461758e+00    1.638136042714e+02
2.284934983814e+00    1.575178045269e+02
2.288592499606e+00    1.506210271499e+02
2.292250009123e+00    1.432015196256e+02
2.295907512356e+00    1.353423621831e+02
2.299565009295e+00    1.271304276167e+02
2.303222499929e+00    1.186553086216e+02
2.306879984249e+00    1.100082262692e+02
2.310537462244e+00    1.012809333113e+02
2.314194933905e+00    9.256462589035e+01
2.317852399222e+00    8.394887695278e+01
2.321509858184e+00    7.552060421342e+01
2.325167310781e+00    6.736308491488e+01
2.328824757004e+00    5.955502887591e+01
2.332482196842e+00    5.216972043175e+01
2.336139630286e+00    4.527423886351e+01
2.339797057325e+00    3.892876578996e+01
2.343454477949e+00    3.318598678834e+01
2.347111892149e+00    2.809059322335e+01
2.350769299913e+00    2.367888891787e+01
2.354426701233e+00    1.997850491717e+01
2.358084096099e+00    1.700822419079e+01
2.361741484499e+00    1.477791670773e+01
2.365398866424e+00    1.328858392837e+01
2.369056241865e+00    1.253251039285e+01
2.372713610811e+00    1.249351877635e+01
2.376370973252e+00    1.314732353557e+01
2.380028329178e+00    1.446197710569e+01
2.383685678579e+00    1.639840153912e+01
2.387343021444e+00    1.891099751298e+01
2.391000357765e+00    2.194832179047e+01
2.394657687531e+00    2.545382350189e+01
2.398315010732e+00    2.936662903027e+01
2.401972327357e+00    3.362236484372e+01
2.405629637398e+00    3.815400731712e+01
2.409286940843e+00    4.289274843378e+01
2.412944237683e+00    4.776886624728e+01
2.416601527908e+00    5.271258912005e+01
2.420258811508e+00    5.765494302630e+01
2.423916088472e+00    6.252857161672e+01
2.427573358791e+00    6.726851927004e+01
2.431230622455e+00    7.181296801024e+01
2.434887879453e+00    7.610391992031e+01
2.438545129776e+00    8.008781753563e+01
2.442202373413e+00    8.371609563365e+01
2.445859610356e+00    8.694565883609e+01
2.449516840592e+00    8.973928049903e+01
2.453174064113e+00    9.206591946041e+01
2.456831280909e+00    9.390095233773e+01
2.460488490969e+00    9.522632019860e+01
2.464145694284e+00    9.603058955411e+01
2.467802890842e+00    9.630892873073e+01
2.471460080636e+00    9.606300174943e+01
2.475117263653e+00    9.530078286560e+01
2.478774439885e+00    9.403629588839e+01
2.482431609322e+00    9.228928329145e+01
2.486088771952e+00    9.008481093752e+01
2.489745927767e+00    8.745281495955e+01
2.493403076756e+00    8.442759795934e+01
2.497060218909e+00    8.104728220072e+01
2.500717354217e+00    7.735322787500e+01
2.504374482668e+00    7.338942480686e+01
2.508031604254e+00    6.920186614080e+01
2.511688718964e+00    6.483791260363e+01
2.515345826787e+00    6.034565588197e+01
2.519002927715e+00    5.577328947964e+01
2.522660021737e+00    5.116849514316e+01
2.526317108843e+00    4.657785256141e+01
2.529974189023e+00    4.204627956822e+01
